Dr. Felix Brych ,Deutschland,Gruppenphase,01.10.2008,FC Liverpool,PSV Eindhoven,3:1,1,-,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,29.09.2009,AC Florenz,FC Liverpool,2:0,-,-,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,21.10.2009,FC Porto,APOEL Nikosia,2:1,5,-,1,1
Dr. Felix Brych ,Deutschland,Gruppenphase,03.11.2009,AC Mailand,Real Madrid,1:1,4,-,-,1
Dr. Felix Brych ,Deutschland,Gruppenphase,24.11.2009,Rubin Kazan,Dynamo Kiew,0:0,3,-,-,-
Dr. Felix Brych ,Deutschland,Achtelfinale,24.02.2010,ZSKA Moskau,FC Sevilla,1:1,3,-,-,-
Dr. Felix Brych ,Deutschland,Viertelfinale,30.03.2010,Olympique Lyon,FC Girondins Bordeaux,3:1,2,-,-,1
Dr. Felix Brych ,Deutschland,Gruppenphase,28.09.2010,Ajax Amsterdam,AC Mailand,1:1,6,-,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,02.11.2010,FC Valencia,Glasgow Rangers,3:0,2,-,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,08.12.2010,,SC Braga,2:0,1,-,-,-
Dr. Felix Brych ,Deutschland,Achtelfinale,23.02.2011, Marseille,Manchester United,0:0,-,-,-,-
Dr. Felix Brych ,Deutschland,Viertelfinale,05.04.2011,Real Madrid,Tottenham Hotspur,4:0,5,1,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,13.09.2011,FC Porto,Shakhtar Donetsk,2:1,4,1,1,1
Dr. Felix Brych ,Deutschland,Gruppenphase,18.10.2011,Otelul Galati,Manchester United,0:2,6,1,1,2
Dr. Felix Brych ,Deutschland,Gruppenphase,23.11.2011,Pb,APOEL Nikosia,0:0,6,-,-,-
Dr. Felix Brych ,Deutschland,Achtelfinale,14.03.2012,FC Chelsea,SSC Neapel,,6,-,-,1
Dr. Felix Brych ,Deutschland,Viertelfinale,27.03.2012,APOEL Nikosia,Real Madrid,0:3,-,-,-,-
Dr. Felix Brych ,Deutschland,Halbfinale,18.04.2012,FC Chelsea,FC Barcelona,1:0,4,-,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,03.10.2012,Pb,AC Mailand,2:3,7,-,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,07.11.2012,SC Braga,Manchester United,1:3,3,-,-,2
Dr. Felix Brych ,Deutschland,Gruppenphase,05.12.2012,Celtic Glasgow,Spartak Moskau,2:1,6,1,-,1
Dr. Felix Brych ,Deutschland,Achtelfinale,13.02.2013,Real Madrid,Manchester United,1:1,3,-,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,17.09.2013, Piräus,FC Paris Saint-Germain,1:4,2,-,-,1
Dr. Felix Brych ,Deutschland,Gruppenphase,22.10.2013,AC Mailand,FC Barcelona,1:1,4,-,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,10.12.2013,FC Kopenhagen,Real Madrid,0:2,3,-,-,1
Dr. Felix Brych ,Deutschland,Achtelfinale,18.03.2014,FC Chelsea,Galatasaray Istanbul,2:0,5,-,-,-
Dr. Felix Brych ,Deutschland,Viertelfinale,01.04.2014,FC Barcelona,Atlético Madrid,1:1,8,-,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,01.10.2014,Atlético Madrid,Juventus Turin,1:0,8,-,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,05.11.2014,Athletic Bilbao,FC Porto,0:2,2,-,-,1
Dr. Felix Brych ,Deutschland,Gruppenphase,25.11.2014,ZSKA Moskau,AS Rom,1:1,3,-,-,-
Dr. Felix Brych ,Deutschland,Achtelfinale,24.02.2015,Manchester City,FC Barcelona,1:2,5,1,-,1
Dr. Felix Brych ,Deutschland,Viertelfinale,22.04.2015,Real Madrid,Atlético Madrid,1:0,5,1,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,16.09.2015,Dynamo Kiew,FC Porto,2:2,6,-,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,04.11.2015,Olympique Lyon,Zenit St. Petersburg,0:2,7,2,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,25.11.2015,Juventus Turin,Manchester City,1:0,3,-,-,-
Dr. Felix Brych ,Deutschland,Achtelfinale,09.03.2016,FC Chelsea,FC Paris Saint-Germain,1:2,6,-,-,-
Dr. Felix Brych ,Deutschland,Viertelfinale,05.04.2016,FC Barcelona,Atlético Madrid,2:1,10,1,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,28.09.2016,SSC Neapel,Benfica Lissabon,4:2,5,-,-,1
Dr. Felix Brych ,Deutschland,Gruppenphase,02.11.2016,FC Kopenhagen,Leicester City,0:0,4,-,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,23.11.2016,FC Arsenal,FC Paris Saint-Germain,2:2,4,-,-,1
Dr. Felix Brych ,Deutschland,Achtelfinale,22.02.2017,FC Porto,Juventus Turin,0:2,5,1,-,-
Dr. Felix Brych ,Deutschland,Finale,03.06.2017,Juventus Turin,Real Madrid,1:4,8,1,-,-
Dr. Felix Brych ,Deutschland,Gruppenphase,01.11.2017,SSC Neapel,Manchester City,2:4,3,-,-,1
Dr. Felix Brych ,Deutschland,Gruppenphase,21.11.2017,FC Sevilla,FC Liverpool,3:3,5,-,-,1
Dr. Felix Brych ,Deutschland,Achtelfinale,13.02.2018,Juventus Turin,Tottenham Hotspur,2:2,5,-,-,2
Dr. Felix Brych ,Deutschland,Achtelfinale,06.03.2018,Paris SG,Real Madrid,1:2,4,1,-,-
Dr. Felix Brych ,Deutschland,Viertelfinale,04.04.2018,FC Liverpool,Manchester City,3:0,5,-,-,-
Dr. Felix Brych ,Deutschland,Halbfinale,24.04.2018,FC Liverpool,AS Rom,5:2,5,-,-,1
Manuel Gräfe ,Deutschland,Gruppenphase,20.10.2010,Panathinaikos,Rubin Kazan,0:0,3,-,-,-
Manuel Gräfe ,Deutschland,Gruppenphase,28.09.2011,BATE Borisov,FC Barcelona,0:5,2,-,-,-
Manuel Gräfe ,Deutschland,Gruppenphase,18.10.2011,Dinamo Zagreb,Ajax Amsterdam,0:2,7,-,-,-
Manuel Gräfe ,Deutschland,Gruppenphase,07.12.2011,Benfica,Otelul Galati,1:0,3,-,-,-
Manuel Gräfe ,Deutschland,Gruppenphase,17.09.2013,Benfica,RSC Anderlecht,2:0,6,-,-,-
Manuel Gräfe ,Deutschland,Gruppenphase,23.10.2013,Real Madrid,Juventus Turin,2:1,5,-,1,1
Knut Kircher ,Deutschland,Gruppenphase,02.10.2007,ZSKA Moskau,Fenerbahce Istanbul,2:2,4,-,-,1
Dr. Franz,Deutschland,Gruppenphase,25.09.2002,Olympique Lyon,Rosenborg BK,5:0,1,-,-,-
Dr. Franz,Deutschland,Gruppenphase,13.11.2002,Feyenoord,Newcastle United,2:3,4,-,-,-
Dr. Franz,Deutschland,Gruppenphase,21.10.2003,Loko Moskau,FC Internazionale,3:0,4,-,-,-
Dr. Markus Merk ,Deutschland,1.Runde,30.09.1992,Zalgiris,PSV Eindhoven,0:2,-,-,-,-
Dr. Markus Merk ,Deutschland,Gruppenphase,28.09.1994,AEK Athen,Ajax Amsterdam,1:2,-,-,-,-
Dr. Markus Merk ,Deutschland,Gruppenphase,02.11.1994,RSC Anderlecht,HNK Hajduk Split,0:0,-,-,-,-
Dr. Markus Merk ,Deutschland,Gruppenphase,11.09.1996,Juventus Turin,Manchester United,1:0,-,-,-,-
Dr. Markus Merk ,Deutschland,Viertelfinale,05.03.1997,Ajax Amsterdam,Atlético Madrid,1:1,-,-,-,-
Dr. Markus Merk ,Deutschland,Gruppenphase,22.10.1997,Dynamo Kiew,FC Barcelona,3:0,7,-,1,-
